key,nom_unite,abrege_unite,departement,type_unite,num_tph,num_tph_mobile_unite,num_fax_unite,rang_classement,adresse_geographique_unite,adresse_postale_unite,libelle_unite,type_materiel,code_unite_terminal_de_saisie
GN00000044,� la suite non actif RGBRET,SNA RGBRET,35,059A,,,,8885.0,Caserne g�n�ral Maurice GUILLAUDOT$85 Boulevard Clemenceau$35000 RENNES,CASERNE GENERAL MAURICE GUILLAUDOT$85 BOULEVARD CLEMENCEAU$BP 33284$35032 RENNES CEDEX,,,
GN00000046,� la suite non actif RGPL,SNA RGPL,44,059A,,,,10087.0,Caserne Richemont$19 bis Rue de la Mitrie$44000 NANTES,CASERNE RICHEMONT$19 BIS RUE DE LA MITRIE$BP 50701$44007 NANTES CEDEX 1,,,
GN00000047,� la suite non actif RGNA,SNA RGNA,33,059A,,,,8138.0,Caserne Battesti$59 Rue S�guineau$33700 MERIGNAC,CASERNE BATTESTI$59 RUE SEGUINEAU$CS 90013$33692 MERIGNAC CEDEX,,,
GN00000049,� la suite non actif RGOCC,SNA RGOCC,31,059A,,,,14297.0,Caserne Courr�ge$202 Avenue Jean Rieux$31500 TOULOUSE,CASERNE COURREGE$202 AVENUE JEAN RIEUX$BP 14019$31055 TOULOUSE CEDEX 4,,,
GN00000051,� la suite non actif RGARA,SNA RGARA,69,059A,,,,12191.0,36 Boulevard de l'Ouest$69580 SATHONAY CAMP,36 BOULEVARD DE L OUEST$69580 SATHONAY CAMP,,,
GN00000053,� la suite non actif RGGE,SNA RGGE,57,059A,+33 562115620,+33 630929464,,15857.0,Caserne g�n�ral Radet$2 Rue Albert Bettannier$57070 METZ,CASERNE GENERAL RADET$2 RUE ALBERT BETTANNIER$BP 85195$57075 METZ CEDEX 03,,,
GN00000055,� la suite non actif RGBFC,SNA RGBFC,21,059A,,,,16630.0,Quartier Deflandre$30 Boulevard Mar�chal Joffre$21000 DIJON,QUARTIER DEFLANDRE$30 BOULEVARD MARECHAL JOFFRE$21000 DIJON,,,
GN00000058,� la suite non actif RGCOR,SNA RGCOR,2A,059A,,,,14510.0,Quartier Battesti$Route du Vittulo$20000 AJACCIO,QUARTIER BATTESTI$ROUTE DU VITTULO$CS 80402$20162 AJACCIO CEDEX 1,,,
GN00000059,� la suite non actif RGCVL,SNA RGCVL,45,059A,,,,10669.0,Caserne Conn�table de Richemont$7 Boulevard Marie Stuart$45000 ORLEANS,CASERNE CONNETABLE DE RICHEMONT$7 BOULEVARD MARIE STUART$BP 2537$45038 ORLEANS CEDEX 1,,,
GN00000060,� la suite non actif GR,SNA GR,75,059A,,,,6706.0,Quartier des C�lestins$22 Boulevard Henri IV$75004 PARIS,QUARTIER DES CELESTINS$22 BOULEVARD HENRI IV$75181 PARIS CEDEX 04,,,
GN00000062,� la suite non actif RGIF,SNA RGIF,94,059A,,,,6474.0,Quartier Mohier$4 Avenue Busteau$94700 MAISONS ALFORT,QUARTIER MOHIER$4 AVENUE BUSTEAU$94706 MAISONS ALFORT CEDEX,,,
GN00000063,� la suite non actif RGPACA,SNA RGPACA,13,059A,,,,13020.0,Caserne Hetzel$162 Avenue de la Timone$13010 MARSEILLE,CASERNE HETZEL$162 AVENUE DE LA TIMONE$CS 90086$13387 MARSEILLE CEDEX 10,,,
GN00000065,� la suite actif AMGN,SA AMGN,77,059A,,,,1868.0,Avenue du 13�me Dragons$77000 MELUN,AVENUE DU 13EME DRAGONS$77010 MELUN CEDEX,,,
GN00000066,� la suite actif EG Chaumont,SA EG CHAUMONT,52,059A,,,,1954.0,Caserne Damr�mont$1 Avenue du 109�me RI$52000 CHAUMONT,CASERNE DAMREMONT$1 AVENUE DU 109EME RI$BP 62084$52903 CHAUMONT CEDEX 9,,,
GN00000071,� la suite actif COMGENDMQ,SA COMGENDMQ,972,059A,,,,2577.0,Caserne JOSEPH FRANCE$97200 FORT DE FRANCE,CASERNE JOSEPH FRANCE$BP 616$97261 FORT DE FRANCE CEDEX,,,
GN00000072,� la suite non actif COMGENDGP,SNA COMGENDGP,971,059A,,,,2481.0,Caserne Morne-Hou�l$Rue de la Cascade Vauchelet$97120 ST CLAUDE,CASERNE MORNE HOUEL$RUE DE LA CASCADE VAUCHELET$97120 ST CLAUDE,,,
GN00000073,� la suite actif COMGENDGF,SA COMGENDGF,973,059A,,,,2681.0,Caserne La Madeleine$1296 Route de la Madeleine$97300 CAYENNE,CASERNE LA MADELEINE$1296 ROUTE DE LA MADELEINE$CS 96005$97306 CAYENNE CEDEX,,,
GN00000075,� la suite actif COMGENDRE,SA COMGENDRE,974,059A,,,,2792.0,Caserne V�rines$61 Rue Victor Mac-Auliffe$97400 ST DENIS,CASERNE VERINES$61 RUE VICTOR MAC AULIFFE$BP 92036$97405 ST DENIS CEDEX,,,
GN00000076,� la suite actif COMGENDNC,SA COMGENDNC,988,059A,,,,3061.0,Caserne Meunier$18 Rue Fr�d�ric Surleau$98800 NOUMEA,CASERNE MEUNIER$18 RUE FREDERIC SURLEAU$BP R3$98851 NOUMEA CEDEX,,,
GN00000077,� la suite actif COMGENDPF,SA COMGENDPF,987,059A,,,,2960.0,�le de Tahiti - Caserne Bruat$Avenue Pouvanaa$98714 PAPEETE,ILE DE TAHITI CASERNE BRUAT$AVENUE POUVANAA$BP 89$98713 PAPEETE CEDEX,,,
GN00000080,� la suite actif COMGENDPM,SA COMGENDPM,975,059A,,,,2815.0,2 Place du Lieutenant-colonel Pigeaud$ST PIERRE$97500 ST PIERRE ET MIQUELON,2 PLACE DU LIEUTENANT COLONEL PIGEAUD$BP 4204 ST PIERRE$97500 ST PIERRE ET MIQUELON,,,
GN00000081,� la suite actif CNEFG,SA CNEFG,24,059A,,,,2263.0,Caserne G�n�ral Dupuy$Route du Val de l'Isle$24110 ST ASTIER,CASERNE GENERAL DUPUY$ROUTE DU VAL DE L ISLE$BP 84$24110 ST ASTIER,,,
GN00000082,� la suite actif GMAR,SA GMAR,78,059A,,,,3630.0,Centre Commandant Mill�$67 Rue de Buzenval$78800 HOUILLES,SITE DE HOUILLES BASE DES LOGES$8 AVENUE DU PRESIDENT KENNEDY$BP 40202$78102 ST GERMAIN EN LAYE CEDEX,,,
GN00000105,R�gion de gendarmerie Hauts-de-France,RGHF,59,8017,+33 320435656,+33 320435656,,16632.0,Caserne Adjudant S�n�part$201 Boulevard de Mons$59650 VILLENEUVE D ASCQ,CASERNE ADJUDANT SENEPART$201 BOULEVARD DE MONS$BP 187 VILLENEUVE D ASCQ$59018 LILLE CEDEX,,,
GN00000108,Groupement de gendarmerie d�partementale du Nord,GGD59,59,033M,+33 3 20 43 56 56,+33 6 73 30 97 89,,16749.0,Caserne Adjudant S�n�part$201 Boulevard de Mons$59650 VILLENEUVE D ASCQ,CASERNE ADJUDANT SENEPART$201 BOULEVARD DE MONS$BP 187 VILLENEUVE D ASCQ$59018 LILLE CEDEX,,,
GN00000116,Brigade territoriale autonome de Lille,BTA LILLE,59,0344,+33 3 20 16 96 96,+33 3 20 16 96 96,,16786.0,49 Boulevard Louis XIV$59000 LILLE,49 BOULEVARD LOUIS XIV$BP 187$59018 LILLE CEDEX,,,
GN00000117,Brigade territoriale autonome d'Annoeullin,BTA ANNOEULLIN,59,0344,+33 3 20 85 56 76,,,16783.0,500 Chemin Desnoulet$59112 ANNOEULLIN,500 CHEMIN DESNOULET$BP 28$59112 ANNOEULLIN,BTA d'Annoeullin,Scanner,GN00000117
GN00000118,Brigade territoriale autonome de La-Bass�e,BTA LA-BASSEE,59,0344,+33 3 20 29 01 69,,,16785.0,1 Rue Pierre et Marie Curie$59480 LA BASSEE,1 RUE PIERRE ET MARIE CURIE$59480 LA BASSEE,BTA  de La-Bassée,Bloc optique,GN00000118
GN00000124,Brigade territoriale autonome de Pont-�-Marcq,BTA PONT-A-MARCQ,59,0344,+33 3 20 61 41 20,,,16830.0,33 Rue Germain Delhaye$59710 PONT A MARCQ,33 RUE GERMAIN DELHAYE$59710 PONT A MARCQ,,,
GN00000126,Brigade territoriale autonome de Thumeries,BTA THUMERIES,59,0344,+33 3 20 86 57 17,,,16831.0,Rue Jules Guesde$59239 THUMERIES,RUE JULES GUESDE$59239 THUMERIES,,,
GN00000132,Brigade de proximit� de Bollezeele,BP BOLLEZEELE,59,0342,+33 3 28 68 00 04,,,16848.0,1 Rue Maurice Cornette$59470 BOLLEZEELE,1 RUE MAURICE CORNETTE$59470 BOLLEZEELE,,,
GN00000133,Brigade de proximit� de Bourbourg,BP BOURBOURG,59,0342,+33 3 28 22 02 17,,,16839.0,1 Rue de Quathove$59630 BOURBOURG,1 RUE DE QUATHOVE$59630 BOURBOURG,,,
GN00000135,Brigade de proximit� d'Hondschoote,BP HONDSCHOOTE,59,0342,+33 3 28 68 30 04,,,16843.0,14 Avenue de l'Europe$59122 HONDSCHOOTE,14 AVENUE DE L EUROPE$59122 HONDSCHOOTE,,,
GN00000138,Brigade de proximit� de Watten,BP WATTEN,59,0342,+33 3 21 88 30 17,,,16840.0,2 Rue Vandesmet$59143 WATTEN,2 RUE VANDESMET$59143 WATTEN,,,
GN00000139,Brigade de proximit� de Wormhout,BP WORMHOUT,59,0342,+33 3 28 65 62 55,,,16847.0,697 Route d'Herzeele$59470 WORMHOUT,697 ROUTE D HERZEELE$59726 WORMHOUT CEDEX,,,
GN00000140,Compagnie de gendarmerie d�partementale d'Hazebrouck,CGD HAZEBROUCK,59,033G,+33 3 28 41 61 04,,,16849.0,28 Rue Hollebecque$59190 HAZEBROUCK,28 RUE HOLLEBECQUE$59190 HAZEBROUCK,,,
GN00000141,Groupe de commandement CGD Hazebrouck,GC CGD HAZEBROUCK,59,033J,+33 3 28 41 61 04,,,16850.0,28 Rue Hollebecque$59190 HAZEBROUCK,28 RUE HOLLEBECQUE$59190 HAZEBROUCK,,,
GN00000142,Brigade de recherches d'Hazebrouck,BR HAZEBROUCK,59,036A,+33 3 28 41 19 59,,,16852.0,28 Rue Hollebecque$59190 HAZEBROUCK,28 RUE HOLLEBECQUE$59190 HAZEBROUCK,,,
GN00000143,Brigade territoriale autonome d'Hazebrouck,BTA HAZEBROUCK,59,0344,+33 3 28 41 92 24,+33 6 11 54 41 20,,16855.0,28 Rue Hollebecque$59190 HAZEBROUCK,28 RUE HOLLEBECQUE$59190 HAZEBROUCK,,,
GN00000144,Brigade territoriale autonome de Bailleul,BTA BAILLEUL,59,0344,+33 3 28 49 00 72,,,16853.0,149 Rue de la Gare$59270 BAILLEUL,149 RUE DE LA GARE$59270 BAILLEUL,,,
GN00000145,Brigade de proximit� de Cassel,BP CASSEL,59,0342,+33 3 28 42 42 22,,,16859.0,74 Rue de Bergues$59670 CASSEL,74 RUE DE BERGUES$59670 CASSEL,,,
GN00000146,Brigade territoriale autonome d'Estaires,BTA ESTAIRES,59,0344,+33 3 28 48 84 05,,,16854.0,2 Rue des Ormeaux$59940 ESTAIRES,2 RUE DES ORMEAUX$59940 ESTAIRES,BTA d'Estaires,Bloc optique,GN00000146
GN00000147,Brigade territoriale autonome de Merville,BTA MERVILLE,59,0344,+33 3 28 42 82 22,,,16856.0,1 Rue Barra$59660 MERVILLE,1 RUE BARRA$BP 67$59660 MERVILLE,,,
GN00000148,Brigade de proximit� de Steenvoorde,BP STEENVOORDE,59,0342,+33 3 28 43 30 90,,,16858.0,2 Rue du 6 Septembre 1944$59114 STEENVOORDE,2 RUE DU 6 SEPTEMBRE 1944$59114 STEENVOORDE,,,
GN00000154,Brigade territoriale autonome de Baisieux,BTA BAISIEUX,59,0344,+33 3 20 79 30 60,,,16827.0,933 Rue de la Mairie$59780 BAISIEUX,933 RUE DE LA MAIRIE$59780 BAISIEUX,,,
GN00000156,Brigade territoriale autonome de Cysoing,BTA CYSOING,59,0344,+33 3 20 84 51 19,,,16828.0,1159 Rue Jean-Baptiste Lebas$59830 CYSOING,1159 RUE JEAN BAPTISTE LEBAS$59830 CYSOING,,,
GN00000159,Brigade territoriale autonome de Quesnoy-sur-De�le,BTA QUESNOY-SUR-DEULE,59,0344,+33 3 20 78 90 44,,,16788.0,49 Rue de Verlinghem$59890 QUESNOY SUR DEULE,49 RUE DE VERLINGHEM$59890 QUESNOY SUR DEULE,,,
GN00000167,Compagnie de gendarmerie d�partementale de Valenciennes,CGD VALENCIENNES,59,033G,+33 3 27 22 55 00,+33 6 03 55 20 12,,16860.0,Caserne Gendarme Damien$283 Boulevard Henri Harpignies$59300 VALENCIENNES,CASERNE GENDARME DAMIEN$283 BOULEVARD HENRI HARPIGNIES$59300 VALENCIENNES,,,
GN00000168,Groupe de commandement CGD Valenciennes,GC CGD VALENCIENNES,59,033J,+33 3 27 22 55 03,,,16861.0,Caserne Gendarme Damien$283 Boulevard Henri Harpignies$59300 VALENCIENNES,CASERNE GENDARME DAMIEN$283 BOULEVARD HENRI HARPIGNIES$59300 VALENCIENNES,,,
GN00000169,Brigade de recherches de Valenciennes,BR VALENCIENNES,59,036A,+33 3 27 22 55 09,,,16864.0,Caserne Gendarme Damien$283 Boulevard Henri Harpignies$59300 VALENCIENNES,CASERNE GENDARME DAMIEN$283 BOULEVARD HENRI HARPIGNIES$59300 VALENCIENNES,,,
GN00000170,Brigade territoriale autonome de Valenciennes,BTA VALENCIENNES,59,0344,+33 3 27 22 55 00,,,16867.0,Caserne Gendarme Damien$283 Boulevard Henri Harpignies$59300 VALENCIENNES,CASERNE GENDARME DAMIEN$283 BOULEVARD HENRI HARPIGNIES$59300 VALENCIENNES,,,
GN00000174,Brigade territoriale autonome de Bouchain,BTA BOUCHAIN,59,0344,+33 3 27 35 82 22,,,16865.0,289 Boulevard de la R�publique$59111 BOUCHAIN,289 BOULEVARD DE LA REPUBLIQUE$59111 BOUCHAIN,BTA de Bouchain,Bloc optique,GN00000174
GN00000179,Brigade de proximit� de Mortagne-du-Nord,BP MORTAGNE-DU-NORD,59,0342,+33 3 27 48 06 66,,,16870.0,71 Rue Simon Beauchamp$59158 MORTAGNE DU NORD,71 RUE SIMON BEAUCHAMP$59158 MORTAGNE DU NORD,,,
GN00000181,Brigade de proximit� de Saint-Amand-les-Eaux,BP ST-AMAND-LES-EAUX,59,0342,+33 3 27 48 06 66,,,16869.0,67 bis Rue Henri Barbusse$59230 ST AMAND LES EAUX,67 BIS RUE HENRI BARBUSSE$59734 ST AMAND LES EAUX CEDEX,,,
GN00000183,Compagnie de gendarmerie d�partementale d'Avesnes-sur-Helpe,CGD AVESNES-SUR-HELPE,59,033G,+33 3 27 61 86 33,,,16789.0,29 Route de Landrecies$59440 AVESNELLES,29 ROUTE DE LANDRECIES$59440 AVESNELLES,,,
GN00000184,Groupe de commandement CGD Avesnes-sur-Helpe,GC CGD AVESNES-SUR-HELPE,59,033J,+33 3 27 61 86 33,+33 6 34 58 54 15,,16790.0,29 Route de Landrecies$59440 AVESNELLES,29 ROUTE DE LANDRECIES$59440 AVESNELLES,,,
GN00000185,Brigade de recherches d'Avesnes-sur-Helpe,BR AVESNES-SUR-HELPE,59,036A,+33 3 27 61 86 20,,,16793.0,29 Route de Landrecies$59440 AVESNELLES,29 ROUTE DE LANDRECIES$59440 AVESNELLES,,,
GN00000186,Brigade territoriale autonome d'Avesnes-sur-Helpe,BTA AVESNES-SUR-HELPE,59,0344,+33 3 27 61 14 40,,,16794.0,29 Route de Landrecies$59440 AVESNELLES,29 ROUTE DE LANDRECIES$59440 AVESNELLES,,,
GN00000188,Brigade de proximit� de Bousies,BP BOUSIES,59,0342,+33 3 27 77 30 61,,,16801.0,40 Rue de Landrecies$59222 BOUSIES,40 RUE DE LANDRECIES$59222 BOUSIES,,,
GN00000189,Brigade territoriale autonome de Fourmies,BTA FOURMIES,59,0344,+33 3 27 60 13 43,+33 6 24 06 42 03,,16796.0,25 Rue d'Anor$59610 FOURMIES,25 RUE D ANOR$59610 FOURMIES,BTA  de Fourmies,Bloc optique,GN00000189
GN00000190,Brigade de proximit� de Landrecies,BP LANDRECIES,59,0342,+33 3 27 84 70 50,+33 786715807,,16800.0,4 Rue de Lalande$59550 LANDRECIES,4 RUE DE LALANDE$59550 LANDRECIES,,,
GN00000191,Brigade de proximit� de Sains-du-Nord,BP SAINS-DU-NORD,59,0342,+33 3 27 59 70 00,,,16804.0,17 Rue Haie-Corbeaux$59177 SAINS DU NORD,17 RUE HAIE CORBEAUX$59177 SAINS DU NORD,,,
GN00000192,Brigade de proximit� de Tr�lon,BP TRELON,59,0342,+33 3 27 59 70 00,+33 6 02 07 57 06,,16803.0,2 Rue Roger Salengro$59132 TRELON,2 RUE ROGER SALENGRO$59132 TRELON,,,
GN00000193,Compagnie de gendarmerie d�partementale de Cambrai,CGD CAMBRAI,59,033G,+33 3 27 81 23 72,+33 6 03 55 12 76,,16805.0,3 Rue de la Poste$59400 CAMBRAI,3 RUE DE LA POSTE$59400 CAMBRAI,,,
GN00000194,Groupe de commandement CGD Cambrai,GC CGD CAMBRAI,59,033J,+33 3 27 81 23 72,+33 6 11 25 52 31,,16806.0,3 Rue de la Poste$59400 CAMBRAI,3 RUE DE LA POSTE$59400 CAMBRAI,,,
GN00000195,Brigade de recherches de Cambrai,BR CAMBRAI,59,036A,+33 3 27 81 88 37,,,16809.0,3 Rue de la Poste$59400 CAMBRAI,3 RUE DE LA POSTE$59400 CAMBRAI,,,
GN00000197,Brigade de proximit� de Busigny,BP BUSIGNY,59,0342,+33 3 27 85 71 05,+33 6 03 55 13 68,,16820.0,35 Rue de la Gare$59137 BUSIGNY,35 RUE DE LA GARE$59137 BUSIGNY,,,
GN00000198,Brigade de proximit� de Carni�res,BP CARNIERES,59,0342,+33 3 27 78 68 15,,,16817.0,22 Rue de Rieux$59217 CARNIERES,22 RUE DE RIEUX$BP 7$59217 CARNIERES,,,
GN00000199,Brigade territoriale autonome du Cateau-Cambr�sis,BTA LE-CATEAU-CAMBRESIS,59,0344,+33 3 27 84 11 17,,,16812.0,1 Rue du Commandant Albert Seydoux$59360 LE CATEAU CAMBRESIS,1 RUE DU COMMANDANT ALBERT SEYDOUX$59360 LE CATEAU CAMBRESIS,BTA du Cateau-Cambrésis,Bloc optique,GN00000199
GN00000200,Brigade territoriale autonome de Caudry,BTA CAUDRY,59,0344,+33 3 27 85 21 17,,,16810.0,244 Rue Henri Barbusse$59540 CAUDRY,244 RUE HENRI BARBUSSE$59540 CAUDRY,BTA  de Caudry,Bloc optique,GN00000200
GN00000201,Brigade de proximit� de Clary,BP CLARY,59,0342,+33 3 27 85 07 05,,,16819.0,20 Rue de Cambrai$59225 CLARY,20 RUE DE CAMBRAI$59225 CLARY,,,
GN00000202,Brigade territoriale autonome d'Iwuy,BTA IWUY,59,0344,+33 3 27 37 92 15,,,16811.0,22 Rue de la libert�$59141 IWUY,22 RUE DE LA LIBERTE$59141 IWUY,,,
GN00000203,Brigade territoriale autonome de Marcoing,BTA MARCOING,59,0344,+33 3 27 37 50 05,,,16813.0,17 Avenue de la Fraternit�$59159 MARCOING,17 AVENUE DE LA FRATERNITE$59159 MARCOING,,,
GN00000204,Brigade territoriale autonome de Solesmes,BTA SOLESMES,59,0344,+33 3 27 37 32 33,,,16814.0,50 Rue de la Cav�e$59730 SOLESMES,50 RUE DE LA CAVEE$59730 SOLESMES,,,
GN00000205,Compagnie de gendarmerie d�partementale de Douai,CGD DOUAI,59,033G,+33 3 27 98 91 51,,,16821.0,Caserne Conroux$240 Rue des Wetz$59500 DOUAI,CASERNE CONROUX$240 RUE DES WETZ$59500 DOUAI,,,
GN00000206,Groupe de commandement CGD Douai,GC CGD DOUAI,59,033J,+33 3 27 98 91 51,,,16822.0,Caserne Conroux$240 Rue des Wetz$59500 DOUAI,CASERNE CONROUX$240 RUE DES WETZ$59500 DOUAI,,,
GN00000207,Brigade de recherches de Douai,BR DOUAI,59,036A,+33 3 27 98 86 36,,,16825.0,Caserne Conroux$240 Rue des Wetz$59500 DOUAI,CASERNE CONROUX$240 RUE DES WETZ$59500 DOUAI,,,
GN00000210,Brigade territoriale autonome d'Arleux,BTA ARLEUX,59,0344,+33 3 27 89 52 62,,,16826.0,422 Rue Salvador Allende$59151 ARLEUX,422 RUE SALVADOR ALLENDE$59151 ARLEUX,,,
GN00000214,Brigade territoriale autonome d'Orchies,BTA ORCHIES,59,0344,+33 3 20 71 80 57,,,16829.0,7 Rue des 3 Bonniers Marins$59310 ORCHIES,7 RUE DES 3 BONNIERS MARINS$59310 ORCHIES,BTA  d'Orchies,Bloc optique,GN00000214
GN00000222,Brigade territoriale autonome de Bavay,BTA BAVAY,59,0344,+33 3 27 63 12 12,,,16795.0,24 Route de Maubeuge$59570 BAVAY,24 ROUTE DE MAUBEUGE$59570 BAVAY,,,
GN00000227,Brigade territoriale autonome du Quesnoy,BTA LE-QUESNOY,59,0344,+33 3 27 49 10 18,,,16797.0,3 Route de Louvignies$59530 LE QUESNOY,3 ROUTE DE LOUVIGNIES$59530 LE QUESNOY,,,
GN00000228,Brigade territoriale autonome de Solre-le-Ch�teau,BTA SOLRE-LE-CHATEAU,59,0344,+33 3 27 61 61 22,,,16798.0,56 Rue de Maubeuge$59740 SOLRE LE CHATEAU,56 RUE DE MAUBEUGE$59740 SOLRE LE CHATEAU,,,
GN00000229,Groupement de gendarmerie d�partementale du Pas-de-Calais,GGD62,62,033M,+33 3 61 47 32 50,,,17117.0,Quartier Baudimont$1 Avenue de l'Hippodrome$62000 ARRAS,QUARTIER BAUDIMONT$1 AVENUE DE L HIPPODROME$62000 ARRAS,,,
GN00000234,Brigade motoris�e d'Arras,BMO ARRAS,62,073B,+33 3 61 47 33 64,,,17136.0,Quartier Baudimont$1 Avenue de l'Hippodrome$62000 ARRAS,QUARTIER BAUDIMONT$1 AVENUE DE L HIPPODROME$62000 ARRAS,,,
GN00000235,Peloton motoris� de Boulogne-sur-Mer,PMO BOULOGNE-SUR-MER,62,8086,+33 3 21 91 19 09,+33 6 23 69 13 35,,17139.0,9 Route d'Herquelingue$62360 ISQUES,BP 28$62360 ST LEONARD,,,
GN00000236,Compagnie de gendarmerie d�partementale d'Arras,CGD ARRAS,62,033G,+33 3 61 47 32 54,,,17143.0,Quartier Baudimont$1 Avenue de l'Hippodrome$62000 ARRAS,QUARTIER BAUDIMONT$1 AVENUE DE L HIPPODROME$62000 ARRAS,,,
GN00000237,Groupe de commandement CGD Arras,GC CGD ARRAS,62,033J,+33 3 61 47 32 54,,,17144.0,Quartier Baudimont$1 Avenue de l'Hippodrome$62000 ARRAS,QUARTIER BAUDIMONT$1 AVENUE DE L HIPPODROME$62000 ARRAS,,,
GN00000238,Brigade de recherches d'Arras,BR ARRAS,62,036A,+33 3 61 47 32 65,,,17147.0,Quartier Baudimont$1 Avenue de l'Hippodrome$62000 ARRAS,QUARTIER BAUDIMONT$1 AVENUE DE L HIPPODROME$62000 ARRAS,BR Arras,Bloc optique,GN00000238
GN00000241,Brigade territoriale autonome de Bapaume,BTA BAPAUME,62,0344,+33 3 21 07 10 17,,,17148.0,100 Rue Faubourg de P�ronne$62450 BAPAUME,100 RUE FAUBOURG DE PERONNE$62450 BAPAUME,,,
GN00000242,Brigade de proximit� de Beaumetz-l�s-Loges,BP BEAUMETZ-LES-LOGES,62,0342,+33 3 21 55 22 17,,,17154.0,59 Route Nationale$62123 BEAUMETZ LES LOGES,59 ROUTE NATIONALE$62123 BEAUMETZ LES LOGES,,,
GN00000243,Brigade de proximit� de Bertincourt,BP BERTINCOURT,62,0342,+33 3 21 73 33 17,+33 7 85 00 02 42,,17152.0,Rue du Capitaine Sylvestre de Sacy$62124 BERTINCOURT,RUE DU CAPITAINE SYLVESTRE DE SACY$62124 BERTINCOURT,,,
GN00000244,Brigade de proximit� de Croisilles,BP CROISILLES,62,0342,+33 3 21 48 91 17,+33 6 15 85 59 28,,17162.0,1 Rue L�o Ferr�$62128 CROISILLES,1 RUE LEO FERRE$62128 CROISILLES,,,
GN00000245,Brigade de proximit� de Foncquevillers,BP FONCQUEVILLERS,62,0342,+33 3 21 07 63 17,,,17155.0,67 Rue Haute$62111 FONCQUEVILLERS,67 RUE HAUTE$62111 FONCQUEVILLERS,,,
